,Name,Track_ID,Album,Artist,Artist_ID,Artist_Genre,Duration_ms,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Playlist
64,CAN'T TOUCH THIS,1LJYn86ysceH708AIkw0VZ,FOR CERTAIN (Deluxe),BIA,6veh5zbFpm31XsPdjBgPER,"['pop', 'r&b', 'rap', 'rap latina', 'trap queen']",146597,62,True,0.975,0.482,9,-7.94,1,0.246,0.00716,0.0,0.0596,0.737,125.953,BBE
65,My Type,5KBARWIxeMGkvUax9VtVC9,ICY,Saweetie,6cK3NBO6uP7hh0oyuVELFl,"['cali rap', 'dance pop', 'pop', 'rap', 'trap queen']",126446,71,True,0.899,0.811,2,-6.294,1,0.258,0.000677,0.0,0.0672,0.587,105.038,BBE
66,Buss It,25j0Sape7qZbq6ZPLFefTT,Erica Banks,Erica Banks,2SXhbucehn00OBVKhzxDyM,"['rap', 'trap queen', 'viral rap']",187000,64,True,0.956,0.502,9,-5.995,1,0.213,0.0593,0.0,0.238,0.795,110.003,BBE
67,Sex With Me,7BiELrM90hRxpozaIXbsLw,ANTI (Deluxe),Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",206400,73,True,0.58,0.532,1,-5.668,0,0.0424,0.294,0.0,0.0948,0.39,112.049,BBE
68,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']",134239,79,False,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,BBE
69,So Pretty,1yLTcitjbEJr7a4jyDB0Lz,So Pretty,Reyanna Maria,7kRrkUEPgO3TRfAi7Gsw2i,[],85741,67,True,0.799,0.543,10,-6.094,0,0.24,0.0512,0.0425,0.134,0.25,187.906,BBE
70,I Like Him,68UU9oaQtMDnh6PRlW842H,Everything Sucks,Princess Nokia,6lay1nwbE6hTx1jivysUAL,"['alternative r&b', 'escape room', 'lgbtq+ hip hop', 'pop', 'trap queen', 'viral rap']",132453,66,True,0.893,0.579,9,-8.995,1,0.113,0.0641,0.000121,0.215,0.611,133.018,BBE
71,Promiscuous,2gam98EZKrF9XuOkU13ApN,Loose,Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",242293,83,False,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,BBE
0,Maneuver (feat. Flo Milli),4bWGHob6LSJ6XV2NtEo5Zi,No Pressure (Pt. 2),Lakeyah,77gMBvQ2frbQAPyCeoYGm7,"['pop r&b', 'r&b', 'rap', 'viral rap']",201600,62,True,0.842,0.859,11,-3.654,1,0.265,0.0682,0.0,0.148,0.568,124.941,Feelin'_Myself
1,"Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix",4dFKEyGrwmIimMqwYleFOR,Super Freaky Girl (Queen Mix),Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",234899,75,True,0.88,0.777,2,-4.465,1,0.256,0.102,0.0,0.37,0.88,132.982,Feelin'_Myself
3,What Kinda,6tK23xx5yhFkDKcw0qN66C,Lebra Jolie,Lebra Jolie,3ej8SuMJzEgwFLe2lCBikV,"['houston rap', 'trap queen']",181541,0,True,0.884,0.802,1,-2.605,1,0.32,0.0102,0.0,0.0565,0.912,157.03,Feelin'_Myself
